ID_Joueur;Poste;Period Name;Date;Jour;Unnamed: 5;TAGS;Semaine;Nombre de sance;Period Number;TDJ;MinutesJoues;Duration;Dure;Dist;Distance - Z1;Distance - Z1-2;Distance - Z1-3;Distance - Z1-3/min;Distance - Z2;Distance - Z2-4;Distance - Z2-6;Distance - Z3;Distance - Z3-6;Distance - Z4;HID 16;Distance - Z4-6/min;Distance - Z5;HID 21;Distance - Z5-6/min;Sup 24;% Marche;Running (Z3-4);Jogging & Walking (Z1-2);High Speed Running (Z5-6);High Speed Running (Z4-6);Speed - Avg;Speed - Avg (m/min);Speed - Avg (yard/min);%Vmax;Vmax;Speed Exertion;Speed Exertion /min;Accel Load;Accel Load - Density;Accel Load.1;Accel - Z1;Accel - Z1-3;Accel - Z1-3/min;Accel - Z2;Accel - Z2-3;Accel - % Z2-3;Accel - Z2-3/min;Accel - Z3;Accel - % Z3;Decel - Z1;Decel - Z1-3;Decel - Z1-3/min;Decel - Z2;Decel - Z2-3;Decel Z2-3/min;Decel - Z3;HR Exertion;HML Dist;% HMLD;Met. Load - Distance;Collisions;Running Imbalance
1244;;JEU;;;;;;;10;0,003;5;00:05:00;;527,18;245,28;388,4;462,22;92,44;143,12;268,34;281,7;73,82;138,58;51,4;64,76;12,95;9,97;13,36;2,67;3,39;46,53;125,22;388,4;13,36;64,76;6,33;105,44;115,31;293,27;24,68;3,76;0,75;215,76;0,72;4,09;8;8;1,6;0;0;0;0;0;0;7;7;1,4;0;0;0;0;300;125,93;23,89;527,38;1;-4,54
1245;;JEU;;;;;;;10;0,003;5;00:05:00;;459,9;271,46;361,26;427,5;85,5;89,8;188,44;188,44;66,24;98,64;32,4;32,4;6,48;0;0;0;0;59,03;98,64;361,26;0;32,4;5,52;91,98;100,59;234,55;19,61;3,98;0,8;195,34;0,65;4,25;6;7;1,4;1;1;14,29;0,2;0;0;8;10;2;2;2;0,4;0;300;100,65;21,88;459,9;0;-8,14
1246;;JEU;;;;;;;11;0,004;5,42;00:05:25;;558,34;293,53;432,63;505,39;93,3;139,1;251,49;264,84;72,76;125,74;39,63;52,98;9,78;11,33;13,35;2,46;2,02;52,57;112,39;432,63;13,35;52,98;6,18;103,08;112,73;243,45;24,35;5,03;0,93;252,95;0,78;4,53;4;4;0,74;0;0;0;0;0;0;8;11;2,03;2;3;0,55;1;325;139,55;24,99;558,36;0;10,34
1247;;JEU;;;;;;;11;0,004;5,42;00:05:25;;484,09;268,2;379,4;448,1;82,73;111,2;220,2;220,2;68,7;109;40,3;40,3;7,44;0;0;0;0;55,4;109;379,4;0;40,3;5,36;89,37;97,74;216;18,72;0;0;205,27;0,63;4,24;7;7;1,29;0;0;0;0;0;0;4;5;0,92;1;1;0,18;0;0;87,8;18,14;0;0;0
1248;;JEU;;;;;;;11;0,004;5,42;00:05:25;;544,59;287,61;437,83;521,63;96,3;150,22;257,02;257,02;83,8;106,8;23;23;4,25;0;0;0;0;52,81;106,8;437,83;0;23;6,03;100,54;109,95;241,17;18,76;4,34;0,8;240,3;0,74;4,41;5;6;1,11;1;1;16,67;0,18;0;0;7;7;1,29;0;0;0;0;325;117,51;21,58;544,62;1;0
1249;;JEU;;;;;;;11;0,004;5,42;00:05:25;;466,63;283,04;415,99;463,96;85,65;132,95;183,67;183,67;47,97;50,72;2,75;2,75;0,51;0;0;0;0;60,66;50,72;415,99;0;2,75;5,17;86,15;94,21;201,71;16,64;2,7;0,5;210,83;0,65;4,52;4;4;0,74;0;0;0;0;0;0;6;7;1,29;1;1;0,18;0;325;64,09;13,73;466,71;0;-5,03
1250;;JEU;;;;;;;11;0,004;5,42;00:05:25;;539,62;318,48;513,7;539,62;99,62;195,22;221,14;221,14;25,92;25,92;0;0;0;0;0;0;0;59,02;25,92;513,7;0;0;5,98;99,62;108,95;195,29;14,59;3,8;0,7;197,06;0,61;3,65;3;3;0,55;0;0;0;0;0;0;3;3;0,55;0;0;0;0;325;52,95;9,81;539,62;1;0
1251;;JEU;;;;;;;11;0,004;5,42;00:05:25;;528,92;278,91;424,67;498,45;92,02;145,76;249,24;249,24;73,78;103,48;29,7;29,7;5,48;0;0;0;0;52,73;103,48;424,67;0;29,7;5,86;97,65;106,79;257,26;20,8;3,97;0,73;233,09;0,72;4,41;6;7;1,29;1;1;14,29;0,18;0;0;8;10;1,85;2;2;0,37;0;325;124,36;23,51;529;0;0
1252;;JEU;;;;;;;11;0,004;5,42;00:05:25;;478,03;274,16;383,76;449;82,89;109,6;201,29;201,29;65,24;91,69;26,45;26,45;4,88;0;0;0;0;57,35;91,69;383,76;0;26,45;5,3;88,25;96,51;240,83;20,27;3,23;0,6;213,6;0,66;4,47;4;7;1,29;3;3;42,86;0,55;0;0;3;4;0,74;1;1;0,18;0;325;89,46;18,71;478,11;1;0
1253;;JEU;;;;;;;11;0,004;5,42;00:05:25;;642,58;244,54;442,24;565,26;104,36;197,7;380,19;398,1;123,02;200,4;59,47;77,38;14,29;17,91;17,91;3,31;0;38,06;182,49;442,24;17,91;77,38;7,12;118,63;129,73;282,05;23,35;6,68;1,23;245,28;0,75;3,82;7;7;1,29;0;0;0;0;0;0;2;4;0,74;1;2;0,37;1;325;183,8;28,6;642,64;0;-2,79
